Time_Point_(Week#),Media_type,Flow_type,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
1,Std,0,1,0.180,0.200,0.372,"204,800"
1,Std,50,1,0.310,0.120,0.710,"122,880"
1,Std,100,1,0.330,0.130,0.258,"133,120"
1,Std,150,1,0.280,0.130,0.542,"133,120"
2,Std,0,1,0.180,0.260,0.510,"266,240"
2,Std,50,1,0.320,0.140,0.672,"143,360"
2,Std,100,1,0.330,0.180,0.336,"184,320"
2,Std,150,1,0.280,0.200,0.706,"204,800"
3,Std,0,1,0.270,0.330,0.399,"337,920"
3,Std,50,1,0.520,0.360,0.590,"368,640"
3,Std,100,1,0.420,0.470,0.376,"481,280"
3,Std,150,1,0.330,0.450,0.559,"460,800"
4,Std,0,1,0.330,0.380,0.460,"389,120"
4,Std,50,1,0.660,0.900,0.927,"921,600"
4,Std,100,1,0.610,0.400,1.084,"409,600"
4,Std,150,1,0.600,0.500,0.489,"512,000"
5,Std,0,1,0.240,0.430,0.229,"440,320"
5,Std,50,1,0.330,0.860,0.479,"880,640"
5,Std,100,1,0.550,0.700,0.694,"716,800"
5,Std,150,1,0.570,0.540,0.383,"552,960"
6,Std,0,1,0.160,0.310,0.158,"317,440"
6,Std,50,1,0.280,0.260,0.425,"266,240"
6,Std,100,1,0.360,0.610,0.675,"624,640"
6,Std,150,1,0.540,0.560,0.577,"573,440"
7,Std,0,1,0.180,0.320,0.088,"327,680"
7,Std,50,1,0.360,0.750,0.389,"768,000"
7,Std,100,1,0.140,0.540,0.443,"552,960"
7,Std,150,1,0.560,0.500,0.536,"512,000"
1,Std,0,0,0.180,0.200,0.298,"204,800"
1,Std,50,0,0.320,0.140,0.681,"143,360"
1,Std,100,0,0.280,0.150,0.190,"153,600"
1,Std,150,0,0.180,0.150,0.524,"153,600"
2,Std,0,0,0.280,0.240,0.393,"245,760"
2,Std,50,0,0.430,0.100,0.653,"102,400"
2,Std,100,0,0.380,0.200,0.292,"204,800"
2,Std,150,0,0.390,0.220,0.678,"225,280"
3,Std,0,0,0.280,0.340,0.355,"348,160"
3,Std,50,0,0.550,0.510,0.580,"522,240"
3,Std,100,0,0.380,0.480,0.275,"491,520"
3,Std,150,0,0.390,0.500,0.538,"512,000"
4,Std,0,0,0.270,0.340,0.345,"348,160"
4,Std,50,0,0.670,0.830,0.897,"849,920"
4,Std,100,0,0.550,0.600,0.998,"614,400"
4,Std,150,0,0.570,0.510,0.469,"522,240"
5,Std,0,0,0.240,0.430,0.220,"440,320"
5,Std,50,0,0.570,0.830,0.432,"849,920"
5,Std,100,0,0.360,0.520,0.653,"532,480"
5,Std,150,0,0.340,0.560,0.362,"573,440"
6,Std,0,0,0.180,0.300,0.128,"307,200"
6,Std,50,0,0.360,0.500,0.423,"512,000"
6,Std,100,0,0.440,0.640,0.656,"655,360"
6,Std,150,0,0.360,0.510,0.574,"522,240"
7,Std,0,0,0.120,0.310,0.085,"317,440"
7,Std,50,0,0.190,0.460,0.386,"471,040"
7,Std,100,0,0.360,0.420,0.405,"430,080"
7,Std,150,0,0.360,0.430,0.532,"440,320"
1,Std,0,1,0.140,0.380,0.445,"389,120"
1,Std,50,1,0.280,0.420,0.740,"430,080"
