Time_Point,Media Type,Flow Rate,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB,488nm_VF_FL
7,10%CS,50,0,0.197,0.215,0.548,"115,249"
7,10%CS,50,1,0.184,0.178,0.435,"131,196"
7,10%CS,100,0,1.736,1.457,0.196,"132,377"
7,10%CS,100,1,1.081,0.883,0.962,"155,241"
7,10%CS,150,0,0.141,0.41,0.581,"163,748"
7,10%CS,150,1,0.131,0.299,0.54,"179,286"
7,10%CS,0,0,0.128,0.109,0.125,0
7,10%CS,0,1,0.095,0.084,0.08,0
0,10%CS,50,0,0.489,0.353,0.441,"502,277"
0,10%CS,50,1,0.325,0.276,0.36,"546,496"
0,10%CS,100,0,0.465,0.376,0.225,"336,885"
0,10%CS,100,1,0.119,0.104,0.102,"305,539"
0,10%CS,150,0,0.08,0.093,0.09,"167,736"
0,10%CS,150,1,0.079,0.162,0.164,"75,298"
0,10%CS,0,0,0.317,0.244,0.21,0
0,10%CS,0,1,0.113,0.093,0.092,0
1,10%CS,50,0,0.327,0.185,0.199,"609,430"
1,10%CS,50,1,0.314,0.204,0.7,"489,762"
1,10%CS,100,0,0.273,0.277,0.338,"420,399"
1,10%CS,100,1,0.46,0.389,0.387,"344,739"
1,10%CS,150,0,0.33,0.149,0.282,"260,389"
1,10%CS,150,1,0.306,0.149,0.832,"230,003"
1,10%CS,0,0,0.308,0.235,0.318,0
1,10%CS,0,1,0.324,0.255,0.225,0
2,10%CS,50,0,0.453,0.106,0.145,"802,177"
2,10%CS,50,1,0.418,0.379,0.568,"685,039"
2,10%CS,100,0,0.558,0.423,0.375,"555,413"
2,10%CS,100,1,0.215,0.246,0.757,"546,846"
2,10%CS,150,0,0.5,0.316,0.702,"256,515"
2,10%CS,150,1,0.497,0.436,0.777,"360,138"
2,10%CS,0,0,0.448,0.367,0.23,0
2,10%CS,0,1,0.271,0.236,0.443,0
3,10%CS,50,0,0.682,0.09,0.088,"634,507"
3,10%CS,50,1,0.663,0.459,0.696,"582,764"
3,10%CS,100,0,0.211,0.189,0.265,"475,753"
3,10%CS,100,1,0.618,0.456,0.443,"594,705"
3,10%CS,150,0,0.47,0.366,0.564,"290,153"
3,10%CS,150,1,0.496,0.35,0.669,"612,305"
3,10%CS,0,0,0.514,0.421,0.753,0
3,10%CS,0,1,0.438,0.34,0.531,0
3.5,10%CS,50,0,0.63,0.403,0.706,"587,640"
3.5,10%CS,50,1,0.484,0.356,0.73,"474,535"
3.5,10%CS,100,0,1.735,1.21,1.013,"411,461"
3.5,10%CS,100,1,0.21,0.18,0.253,"422,842"
3.5,10%CS,150,0,0.255,0.186,0.329,"193,836"
3.5,10%CS,150,1,0.241,0.189,0.322,"413,860"
