Time_Point_(Week#),Media_type,Flow_type,Centrifuged,405nm_alkP,488nm_VFz_abs,560nm_alamB, 488nm_VF_FL 
0,Std,0 2D,0,0.2226,0.2117,0.4784,"7,075"
0,Std,0 2D,1,0.2324,0.2235,0.2277,"16,260"
1,Std,0 2D,0,0.247,0.2496,0.2701,"24,803"
1,Std,0 2D,1,0.2124,0.2142,0.2423,"25,173"
2,Std,0 2D,0,0.1919,0.1809,0.2077,"19,948"
2,Std,0 2D,1,0.2231,0.2106,0.1541,"20,743"
3,Std,0 2D,0,0.1198,0.21,0.26,"23,286"
3,Std,0 2D,1,0.1296,0.1216,0.218,"22,815"
3.5,Std,0 2D,0,0.092,0.08,0.08,
3.5,Std,0 2D,1,0.255,0.218,0.283,
4,Std,0 2D,0,,0.08,0.08,
4,Std,0 2D,1,0.09,,0.074,
5,Std,0 2D,1,,,0.5994,
0,Std,0 2D,0,0.094,0.082,0.081,
0,Std,0 2D,1,0.095,0.085,0.081,
0,Std,0 2D,0,0.2272,0.429,0.4777,"14,268"
0,Std,0 2D,1,0.2324,0.2107,0.2924, -   
1,Std,0 2D,0,0.0745,0.066,0.0555,
1,Std,0 2D,1,0.0615,0.1355,0.085,
1,Std,0 2D,0,0.2752,0.2765,0.3196,"23,642"
1,Std,0 2D,1,0.2124,0.2454,0.2019,"26,123"
2,Std,0 2D,0,0.2645,0.1965,0.2378,
2,Std,0 2D,1,0.277,0.0745,0.218,
2,Std,0 2D,0,0.1795,0.1712,0.1952,"19,457"
2,Std,0 2D,1,0.2231,0.1878,0.137,"68,013"
3,Std,0 2D,0,0.25,0.21,0.26,
3,Std,0 2D,1,0.265,0.2085,0.283,
3,Std,0 2D,0,0.1218,,,"23,242"
3,Std,0 2D,1,0.1296,0.1222,,"46,905"
3.5,Std,0 2D,0,0.171,0.145,0.17,
3.5,Std,0 2D,1,0.177,0.218,0.1785,
4,Std,0 2D,0,0.092,0.08,0.08,
4,Std,0 2D,1,0.089,,0.074,
7,10%CS,50,0,0.2071,0.2129,0.554,"110,816"
7,10%CS,50,1,0.1772,0.1803,0.4393,"135,254"
7,10%CS,100,0,1.669,1.502,0.194,"136,472"
7,10%CS,100,1,1.114,0.883,0.992,"160,043"
7,10%CS,150,0,0.144,0.394,0.6048,"162,127"
7,10%CS,150,1,0.125,0.3078,0.5191,"184,831"
